event,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,currency,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
Listed for sale,1150000,648,La Jolla,CA,1975,8874 Caminito Primavera,92037,USD,1776,3,4,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,724999,657,La Jolla,CA,1979,8720 Villa La Jolla Dr UNIT 120,92037,USD,1104,2,2,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,2450000,908,La Jolla,CA,1991,1407 Caminito Faro,92037,USD,2699,3,4,1,3,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1599000,767,La Jolla,CA,1980,2459 Ardath Rd,92037,USD,2086,4,3,1,0,0,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,3298000,723,La Jolla,CA,2004,5410 La Jolla Mesa Dr,92037,USD,4564,5,5,1,2,1,Three Or More,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,3495000,1610,La Jolla,CA,1939,5606 Dolphin Pl,92037,USD,2171,4,3,1,1,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1095000,748,La Jolla,CA,1973,2500 Torrey Pines Rd UNIT 502,92037,USD,1464,2,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,4900000,1107,La Jolla,CA,2005,1178 Virginia Way,92037,USD,4428,5,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,599000,637,La Jolla,CA,1970,2510 Torrey Pines Rd UNIT 407,92037,USD,941,2,2,1,0,0,One,0,1,0,CONDO,San Diego County
Listed for sale,980000,572,La Jolla,CA,1980,3195 Morning Way,92037,USD,1714,3,3,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,489000,708,La Jolla,CA,1972,8529 Villa La Jolla Dr APT D,92037,USD,691,1,1,1,0,0,One,0,1,0,CONDO,San Diego County
Listed for sale,1299000,1309,La Jolla,CA,1970,457 Coast Blvd UNIT 503,92037,USD,992,2,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,2150000,1224,La Jolla,CA,1962,5515 Candlelight Dr,92037,USD,1757,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1500000,828,La Jolla,CA,1961,2222 Bahia Dr,92037,USD,1812,2,3,1,2,1,One,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,2695000,1014,La Jolla,CA,1968,6030 Bellevue Ave,92037,USD,2659,4,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1825000,672,La Jolla,CA,1998,6043 Oakgate Row,92037,USD,2716,4,4,1,2,1,Multi/Split,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,975000,855,La Jolla,CA,1992,5726 La Jolla Blvd UNIT 201,92037,USD,1140,2,2,1,2,1,Three Or More,0,1,0,CONDO,San Diego County
